Link,Entity,Label,Occurrences
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1952,Date,2
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1955,Date,4
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1957,Date,2
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1961,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1962,Date,10
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1966,Date,2
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1967,Date,2
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1970,Date,4
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1971,Date,4
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1973,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1975,Date,2
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1976,Date,4
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1977,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1978,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1980,Date,3
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1981,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1982,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1983,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1984,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1985,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1986,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1988,Date,1
https://encyclopedia.mathaf.org.qa/en/bios/Pages/Marwan-Kassab-Bachi.aspx,1990,Date,2
